LANGUAGE,English,Comment,

STRM_intro1,"好了，报告吧，查到了什么。",
STRM_intro2,"根据我们从美国人手里缴获的情报和文件，\n种种迹象表明，他们正在准备一场大规模进攻。",
STRM_intro3,"只是他们的计划暂时还跟不上自己的实力。\n他们几乎不剩多少装甲车辆来发动这样的打击。",
STRM_intro4,"这可不好说。",
STRM_intro5,"看看我们今天晚上8点从轨道上\n在莫顿地区拍到的东西。",
STRM_intro6,"该死。这儿少说有一个坦克连。",
STRM_intro7,"下一个轨道周期就跟丢了，\n但一个半小时后在EF-58坐标区进行空中侦察时，\n从直升机上拍到了这些",
STRM_intro8,"难道是他们？",
STRM_intro9,"看来是。所以我从大陆调来了强击机。\n我们必须先发制人。\n打掉他们的装甲力量，我们明天就能自己发起进攻。",
STRM_intro10,"这里头有古怪。",
STRM_intro11,"有怀疑？说来听听。",
STRM_intro12,"首先，他们停得太嚣张了。\n离我们的防线不到一公里。",
STRM_intro13,"其次，就算有一个坦克连，正面强攻蒙蒂尼亚克\n也毫无意义。\n那里有雷区，他们自己也清楚。",
STRM_intro14,"同意。那么结论是什么？",
STRM_intro15,"要么他们真打算硬闯雷区，\n要么就是想让我们这么以为，而真正的打击会落在完全不同的地方。",
STRM_intro16,"所以我才叫你来。我也有同样的疑虑。\n布莱克是个愣头青，但绝不是傻瓜。",
STRM_intro17,"强击机凌晨3点抵达岛上。\n加满油后，随时可以对我们指定的区域实施打击。",
STRM_intro18,"轰炸之后他们会立刻返回大陆，\n否则在机场就会被端掉。\n这可不是直升机，藏不到林中空地上去。",
STRM_intro19,"你的任务：侦察这个区域。\n如果坦克在那里，我们就对该区域实施轰炸。",
STRM_intro20,"如果坦克不在那儿，我们被人耍了呢？",
STRM_intro21,"那你就得把他们找出来。\n按他们行军所需的时间算，\n他们不可能离开这个区域",
STRM_intro22,"你的时间不多，所以我强烈建议你\n穿着缴获的军装、开缴获的车辆行动。",
STRM_intro23,"如果空袭效果不佳，尽量补掉\n残余之敌。就算打不掉坦克，至少干掉他们的乘员。",
STRM_intro24,"还有：你知道，那儿有戴黑面罩的家伙出没，是他们的特种部队。\n小心点，别因为好奇去捅马蜂窝……",
STRM_intro25,"明白。\n请允许出发？",
STRM_intro26,"行动吧。",


STRM_tank,"方位物20。向右5。发现移动目标。",
STRM_tank1,"方位物20。向右5。杀爆弹。\n开火！",
STRM_tank2,"命中！",
STRM_tank3,"穿着这身蠢军装，我们迟早会被人一锅端。",
STRM_tank4,"我们不会自己走回去。\n早上‘蟑螂’会到南边接我们。",
STRM_hum,"那可是司令部的悍马。最好把它顺走。",

STRM_baze_1f,"蟒蛇报告。EF-58坐标区发现敌军集结。重复：坐标区EF-58",
STRM_baze_1,"这里是蟒蛇。CF-65坐标区观察到敌军集结。听到请回答？",
STRM_baze_2,"老爹呼叫蟒蛇。收到。确认那些铁盒子在不在，然后给我回话。",
STRM_baze_3f,"这里是蟒蛇。目标是假的。重复：目标是假的。",
STRM_baze_3,"这里是蟒蛇。铁盒子就在原地。重复：铁盒子就在原地。",
STRM_baze_4f,"老爹呼叫。蟒蛇，继续搜索。",
STRM_baze_4,"这里是老爹。收到你了蟒蛇，我派出灰鸦。摧毁防空系统。等你报告。",
STRM_baze_5,"蟒蛇报告。防空系统已摧毁。现在报坐标。",
STRM_baze_6,"老爹报告。坐标已收到。蟒蛇，在轰炸结束前撤离坐标区。",
STRM_baze_7f,"灰鸦报告。目标是假的。是假货。重复：那是糊弄人的木头靶子，侦察搞错了。目标是假的。",
STRM_baze_7d,"灰鸦报告。白炸一趟。重复：这儿屁都没有，侦察搞错了。",
STRM_baze_7,"灰鸦报告。目标正中下怀。烧得旺旺的，还带烟火秀。",
STRM_baze_8,"老爹报告。灰鸦没能彻底摧毁目标。蟒蛇，去手动补刀。",
STRM_baze_9,"蟒蛇报告。任务完成——前往撤离点。",

STRM_bomb_go,"灰鸦报告。没藏好的人我可管不着。开始干活。",
