LANGUAGE,English,


STRC_ast_zablud1,"看来我迷路了。",
STRC_ast_zablud2,"我这是跑到哪儿了？",
STRC_kol_zablud1,"开过头了！接下来往哪儿走？",
STRC_kol_zablud2,"到了……问题是：到哪儿了？",
STRC_ud_zablud1,"得，英勇的特种部队偏离航线了……",
STRC_ud_zablud2,"见鬼！我们这到底是在哪儿？",
STRC_tar_zablud1,"……飞向不知哪儿的地方……地图呢？",
STRC_tar_zablud2,"我在哪儿？",
STRC_ast_brek1,"靠！",
STRC_ast_brek2,"真见鬼！",
STRC_kol_brek1,"哟，可算到了！",
STRC_kol_brek2,"这下完了——往外舀水吧……",
STRC_tar_brek1,"头一件事，就是把飞机弄坏……",
STRC_tar_brek2,"这机器全凭一口气儿在飞\n还只剩一只翅膀了",
STRC_ud_brek1,"这下糟了——小家伙们……",
STRC_ud_firm,"打猎的反倒被野兽追",
STRC_kol_firm,"坦克不怕泥地！",
