LANGUAGE,English,German,French,Italian
STRNG_366,起义被平息了 - 任务失败,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_367,"祝好运,同志...","Viel Erfolg, M鋘ner...",Bonne chance les gars !!,Auguri uomini...
STRNG_368,\n\n\n代表不在这他被转移到了Chapoi.\n消灭营地的敌人!,"\n\n\nIhr Mann ist nicht mehr hier, er wurde offensichtlich nach Chapoi verlegt.\nR鋟men Sie das also Lager!",\n\n\nL'agent secret n'est plus ici il a 閠?transf閞??Chapoi.\nQuittez le camp !,\n\n\nL'agente non si trova pi?qui. ?stato inviato a Chapoi.\nSgombri il campo!
STRNG_369,Hey Roos.我会带几个人占领大门.,"Hey, Roos. Ich werde mich mit einigen M鋘ner absetzen und versuchen, durch das Haupttor zu gelangen.",H?! Roos. Je pars en d閠achement avec quelques hommes pour essayer de passer par la porte principale.,Ehi Roos. Mi paracaduter?con alcuni uomini e cercher?di entrare attraverso la porta principale
STRNG_370,好folks.让我们试试看!,"An die Arbeit, M鋘ner.",Bon allez on y va.,Forza gente andiamo.
STRNG_371,"先生,我们真的要拯救中情局代表?","Sir, stimmt es, das wir einen CIA-Agenten suchen? Man h鰎t so einiges...",Commandant est-ce vrai que l'on doit d閘ivrer un agent de la CIA ?,Signore ?vero che dobbiamo liberare un agente della CIA?
STRNG_372,"是同志,这是我们今天的任务.","Ja, Soldat. Das ist unser heutiger Auftrag.",Oui soldat c'est notre mission pour aujourd'hui.,Si soldato. Questo ?il nostro compito di oggi.
STRNG_373,你有问题吗?,Haben Sie damit ein Problem?,莂 te cause un probl鑝e ?,Ci sono dei problemi?
STRNG_374,你害怕吗?,"Hast wohl die Hosen voll, was?",Tu fais dans ton froc n'est-ce pas ?,Se L'?fatta addosso eh?
STRNG_375,不.但是我不喜欢为别人的想法而拿我的命冒险!,Unsinn! Nur halten wir wieder einmal unseren Kopf f黵 andere hin.,Non je trouve seulement que c'est encore mal fichu c'est encore nous qui jouons notre t阾e pour les autres !,Nooo semplicemente non mi piace dover pagare per qualcun altro!
STRNG_376,"同志,别说了, 我们有任务要完成!","M鋘ner, lasst diese Diskussionen! Wir haben einen Auftrag zu erf黮len.",Arr阾ez l?la querelle on a une mission ?remplir et il faut qu'on la remplisse.,Uomini smettetela di litigare abbiamo una missione da compiere.
STRNG_377,"先生, 我们知道敌人营地的情况吗?","Sir, haben Sie Informationen, was uns am Einsatzort erwartet?",Commandant est-ce que vous savez d閖?ce qui nous attend sur le lieu de notre mission ?,Signore sa gi?che cosa ci aspetta al luogo dell'operazione?
STRNG_378,"不清楚.我只知道我们必须非常小心,敌人营地防守严密.","Keine detailierten. Ich wei?nur eines sicher: Wir sollten vorsichtig vorgehen, das Lager ist definitiv gut gesichert.",Pas exactement je peux seulement avancer qu'il va falloir que nous agissions avec beaucoup de prudence le camp est s鹯ement bien gard?,Non esattamente. Posso solo dire che dobbiamo procedere con prudenza dato che il campo sar?sicuramente ben sorvegliato.
STRNG_379,"从这进去,我知道这有一些栅栏有漏洞.","Sir, ich stamme aus dieser Gegend. Ich kenne einige Schlupfl鯿her in den Z鋟nen.",Je peux cependant vous dire une chose comme je suis de la r間ion je sais o?se trouve un passage dans la cl魌ure du camp.,Di una cosa sono sicuro dato che provengo dalla zona e cio?che il filo spinato del campo ?interrotto.
STRNG_380,敌人并不知道这些. 这些漏洞将是我们的理想切入点.,Mit etwas Gl點k haben die diese Stelle noch nicht entdeckt und wir h鋞ten einen idealen Eingang.,L'ennemi ne conna顃 s鹯ement pas l'emplacement ce passage est ainsi un point de d閜art id閍l pour notre mission.,Il nemico non conoscer?sicuramente il posto e questa apertura offre cos?un punto di partenza ideale per la nostra missione.
STRNG_381,那么就这些.去准备吧.这就是我们的目标.,"Genug geredet. Bereitet Euch jetzt auf Eure Mission vor, geht den Plan noch einmal durch. Wir sind gleich am Ziel.",Bon assez parl?maintenant pr閜arez-vous ?remplir votre mission. On est bient魌 arriv閟 au but.,Adesso basta parlare! Preparatevi alla missione siamo quasi a destinazione.
STRNG_382,我们将降落在树林里.,"Wenn wir halten, springen wir direkt ab. Das n鋍hste Ziel ist der Wald, dort finden wir Deckung.",Nous allons devoir sauter l?bas. Nous avancerons ensuite tout droit vers la for阾.,L?salteremo. Dovremmo atterrare direttamente nella foresta.
STRNG_383,树林会在我们到达营地前给我们提供掩护.,"Wir bleiben im Wald, bis wir das Lager erreicht haben.",Il va nous couvrir jusqu'a ce que nous ayons atteint le camp.,Ci dar?copertura fino a quando avremo raggiunto il campo.
STRNG_384,1 2 3 4 5 out.,"1, 2, 3, 4 und 5 raus!",1 2 3 4 5 sautez,1 2 3 4 5 fuori.
STRNG_385,6 7 8 9 10 11 12 out.,"6, 7, 8, 9, 10, 11 und 12 raus!",6 7 8 9 10 11 12 sautez,6 7 8 9 10 11 12 fuori.
STRNG_386,呆在这别动 .你被捕了!,"Halt, stehenbleiben! Sie sind festgenommen!",Halte pas un geste ! Vous 阾es en 閠at d'arrestation !,Fermatevi e non muovetevi! Siete in arresto!
STRNG_387,". . .不论付出什么代价,我都必须把俘虏带到Chapoi.",. . . Ich muss den Gefangenen unbedingt nach Chapoi bringen.,... Il faut absolument que j'emm鑞e le prisonnier ?Chapoi.,... Devo portare assolutamente i prigionieri a Chapoi.
STRNG_388,望远镜,Fernglas,Binoculaire,Binoculare
STRNG_389,Puuh. . . 毕竟成功了.,"Puuh. . . Ich h鋞te nicht geglaubt, da?ich es schaffe.",Ouf ! ... J'ai quand m阭e r閡ssi.,Puuh. ... Ce l'ho fatta.
STRNG_390,该死!!!遭到攻击!.,Verdammt! Gegnerisches Feuer! Das kann ich nicht gebrauchen...,Merde !!! Mais ils me tirent dessus.,SHIT!!! Fanno fuoco su di me.
STRNG_391,"你成功了,但代表被敌人转移了 ....",Sie sind drin. Die Zielperson ist jedoch nicht mehr hier.,Ils sont l?mais l'agent a 閠?emmen?ailleurs par l'ennemi. ...,Lei ?qui l'agente al contrario ?stato portato via. . . .
STRNG_392,"该死,他们从哪来的?","Verdammt, woher kommen die denn alle?",Bordel mais d'o?est-ce qu'ils sortent ?,Accidenti da dove vengono?
STRNG_393,放下你的武器!!! 你现在寡不敌众，投降吧!,"Waffen fallen lassen!!! Jeder, der sich r黨rt, wird erschossen!",Armes ?terre !!! On est en plus grand nombre.,Lasciate cadere le armi!!! Noi siamo in soprannumero.
STRNG_394,"我们风暴般的袭击了整个村子,同志们!!! 我们赢得了这场战斗.",Besetzt das Dorf! Wir sollten auf keinen Widerstand mehr sto遝n.,Allez les gars ?l'assaut du village !!! Nous avons vaincu tous les ennemis.,Avanti ragazzi assalite il villaggio!!! Abbiamo vinto tutti i nemici.
STRNG_395,敌人不会杀了你.你将被监禁.\n 你失败了.,Sie wurden gefangengenommen.\n Sie haben versagt.,L'ennemi ne va pas vous ex閏uter. C'est la prison qui vous attend.\n Vous avez 閏hou?,Il nemico non li fuciler?La metter?in prigione.\nHa fallito.
STRNG_493,最好 -你再试一次 .....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che provi ancora una volta....
STRNG_494,中情局代表 第一部分,CIA Agent Teil 1,Agent CIA partie 1, CIA Agente parte 1
STRNG_495,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati
STRNG_496,Charlie 0 这里是 Fox. 飞往空降点.,"Charlie 0, hier Fox. Befinde mich im Anflug.",Charlie 0 ici Fox. Je me trouve en phase d'approche.,Charlie 0 qui Fox. Mi trovo in discesa.
STRNG_497,这里是Fox......我们受到攻击..............请求增援..........请求地面增援.....,Hier Fox......erde beschoss....Verdammt!..........springe ab..........zu Fu?abzusetz.....,Ici Fox......terre abatte..............saute..........?pied.....,Qui Fox......sparato sulla terra..............salto..........vado a piedi.....
STRNG_20000,大门,Haupteingang,Entr閑 principale,Entrata principale
STRNG_4000,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4001,开始,Start,D閜art,Avvio
STRNG_4002,代表,Zielperson,Agent,Agente
STRNG_4003,敌军,Feindbewegungen,Mouvements de l'ennemi,Movimenti del nemico
STRNG_4004,隐藏的入口,Verdeckter Eingang,Entr閑 arri鑢e,Entrata posteriore
